nid,category,title,writer,dept_nm,regist_dt,taxonomy,telno,cpyrht,url
18378183,복지,"서울시 노인보호전문기관 현황",표미영,어르신복지과,20190802084717,"복지>어르신복지>어르신복지시설 설치 운영현황>노인보호 전문기관 설치운영 현황 및 점검결과",2133-7407,"CC BY-ND",https://opengov.seoul.go.kr/public/18378183
18389012,복지,"재가노인지원센터 현황(2019년)",표미영,어르신복지과,20190805134903,"복지>어르신복지>어르신복지시설 설치 운영현황>재가 노인지원센터 운영현황",2133-7407,"CC BY-ND",https://opengov.seoul.go.kr/public/18389012
18389015,복지,"독거노인 지원 종합대책",표미영,어르신복지과,20190805144314,"복지>어르신복지>독거노인 지원현황>독거노인 지원 종합대책",2133-7407,"CC BY-ND",https://opengov.seoul.go.kr/public/18389015
18389035,복지,"소규모 노인복지센터 건립현황",표미영,어르신복지과,20190805153406,"복지>어르신복지>어르신복지시설 설치 운영현황>소규모 노인복지센터 건립현황",2133-7407,"CC BY-ND",https://opengov.seoul.go.kr/public/18389035
18389054,복지,"2019년 장애인직업재활시설 설치 및 운영현황",임종수,장애인복지정책과,20190805000000,"복지>장애인복지>직업재활시설 설치 및 운영현황>직업재활시설 설치 및 운영현황",2133-7468,"CC BY-ND",https://opengov.seoul.go.kr/public/18389054
18399944,복지,"노인복지시설 안전점검 결과",표미영,어르신복지과,20190806090907,"복지>어르신복지>어르신복지시설 설치 운영현황>노인복지시설 안전점검 결과",2133-7407,"CC BY-ND",https://opengov.seoul.go.kr/public/18399944
18399946,행정,"모바일 투표 엠보팅 소개 및 주요 사례",신오균,스마트도시담당관,20190806093132,"행정ㆍ기타>서울시정보화정책>모바일 서비스 운영>엠보팅(mVoting) 시스템 운영",02-2133-2953,"CC BY-ND",https://opengov.seoul.go.kr/public/18399946
18400413,행정,"2019년도 갈등관리 종합계획",강현지,갈등조정담당관,20190806194615,"행정ㆍ기타>갈등예방 및 맞춤형갈등조정>갈등예방 및 맞춤형 갈등조정>서울시 갈등관리 종합계획",02-2133-6356,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/18400413
18409834,행정,"2019년 7월 유형별 서식민원처리실적(시본청)",배병만,시민봉사담당관,20190807102918,"행정ㆍ기타>민원행정서비스>민원처리실적>유형별 민원처리실적",2133-7908,"CC BY-NC-SA",https://opengov.seoul.go.kr/public/18409834
18409890,공통업무,"2019년 8월 직원 생일상품권 지급",최희정,"뚝도아리수정수센터 행정관리과",20190807142657,"공통업무>예산집행 관리>상품권 구매 및 사용내역>상품권 종류, 목적, 수량, 구매액, 지급대상자 등",02-3146-5561,"CC BY-NC",https://opengov.seoul.go.kr/public/18409890
18410527,행정,"서울시 청사투어 안내자료",박용운,총무과,20190807183128,"행정ㆍ기타>청사관리>서울시 청사투어 안내자료>서울시 청사투어 안내자료",2133-5663,"CC BY",https://opengov.seoul.go.kr/public/18410527
18419585,공통업무,"2019년 7월 서울시립대확교 총장, 행정처장 업무추진비 ",김미경,서울시립대학교총무과,20190808163514,"공통업무>업무추진비 사용내역>업무추진비 사용내역>시립대학교 총장, 처장의 업무추진비",02-6490-6411,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/18419585
18438169,경제,"2019년 서울시 일자리 창출 추진현황(6월까지 누적)",엄태근,일자리정책과,20190812100426,"경제>일자리>일자리 창출 추진실적>일자리 창출 추진현황 및 실적",2133-5455,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/18438169
18438191,행정,"정보공개청구에 따른 공개목록('19.4월~6월)",고미랑,정보공개정책과,20190812000000,"행정ㆍ기타>일반행정>정보공개 청구 현황>정보공개 청구에 따른 공개한 목록",2133-5681,"CC BY-ND",https://opengov.seoul.go.kr/public/18438191
18438192,행정,"정보공개청구에 따른 비공개목록('19.4월~6월)",고미랑,정보공개정책과,20190812000000,"행정ㆍ기타>일반행정>정보공개 청구 현황>정보공개 청구에 따른 비공개한 목록",2133-5681,"CC BY-ND",https://opengov.seoul.go.kr/public/18438192
18456888,여성가족,"지방폐교 활용 가족 자연체험시설 안전점검 실시결과(2019년)",서광자,교육정책과,20190814000000,"여성ㆍ가족>가족정책>가족체험시설>지방폐교 활용 가족 자연체험시설 안전점검 실시결과",02-2133-3923,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/18456888
18476778,행정,"세계스마트시티기구 운영 현황",김명제,스마트시티담당관,20190819213944,"행정ㆍ기타>서울시정보화정책>세계전자정부협의체 운영 현황>세계전자정부협의체 운영 현황",2133-2924,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/18476778
18486689,안전,"2019.화재경계지구 현황",이희곤,예방과,20190820112632,"안전>화재 예방>저소득층 및 취약지역 화재예방계획>화재경계지구 신규지정·해제 및 관리 현황",02-3706-1512,"CC BY-NC-ND",https://opengov.seoul.go.kr/public/18486689
18505655,여성가족,"2019년 청소년수련시설 현황",정한수,청소년정책과,20190822152605,"여성ㆍ가족>청소년 정책>청소년 시설 현황 및 이용률>청소년 수련시설 현황",02-2133-4123,"CC BY",https://opengov.seoul.go.kr/public/18505655
18545517,문화관광,"서울시 공공체육시설 현황(2018년말 기준)",정석균,체육정책과,20190828102527,"문화ㆍ관광>체육진흥>서울시 공공체육시설 현황>서울시 공공체육시설 현황",02-2133-2695,"CC BY",https://opengov.seoul.go.kr/public/18545517
